id,formula,X,Y,Z,struct,dE,form_en,lat,ahc,Tc,efermi,polarization,magX1,magX2,magY,magZ,magsum,ne,negativityX,negativityY,negativityZ,numX,numY,numZ,radiusX,radiusY,radiusZ,rXY,rYZ,rXZ,weightX,weightY,weightZ,densityX,densityY,densityZ,dipoleX,dipoleY,dipoleZ,latX,latY,latZ,structX,structY,structZ,periodX,periodY,periodZ,groupX,groupY,groupZ
1687,Rh2MnGa,Rh,Mn,Ga,l21,2.078409,-0.56885625,6.039803483,1846.74,130.502,8.8227,0.92736,0.329,0.329,3.456,-0.049,4.065,28,2.28,1.55,1.81,45,25,31,135,140,130,0.964286,1.076923,1.038462,102.9055,54.938044,69.723,12.4,7.3,5.91,66,68,50,3.8,8.89,4.51,FCC,CUB,ORC,5,4,4,9,7,13
1738,Rh2PtAl,Rh,Pt,Al,l21,0.135488,-0.3797425,6.154397208,1817.5889,57.0015,10.623,0.337122,0.393,0.393,0.156,-0.009,0.933,31,2.28,2.2,1.61,45,78,13,135,135,125,1,1.08,1.08,102.9055,195.084,26.981538,12.4,21.5,2.7,66,48,57.8,3.8,3.92,4.05,FCC,FCC,FCC,5,6,3,9,10,13
1685,Rh2MnB,Rh,Mn,B,l21,1.921957,-0.02917525,5.739961924,1765.1151,0,10.6496,0.89994,0.36,0.36,3.235,-0.002,3.953,28,2.28,1.55,2.04,45,25,5,135,140,85,0.964286,1.647059,1.588235,102.9055,54.938044,10.81,12.4,7.3,2.34,66,68,20.5,3.8,8.89,8.73,FCC,CUB,TET,5,4,2,9,7,13
1683,Rh2MnAl,Rh,Mn,Al,l21,2.176885,-0.7079635,6.020980301,1726.2992,132.002,10.1563,0.832556,0.338,0.338,3.418,-0.019,4.075,28,2.28,1.55,1.61,45,25,13,135,140,125,0.964286,1.12,1.08,102.9055,54.938044,26.981538,12.4,7.3,2.7,66,68,57.8,3.8,8.89,4.05,FCC,CUB,FCC,5,4,3,9,7,13
100,Co2MnAl,Co,Mn,Al,l21,1.487847,-0.3847165,5.685289842,1646.5332,550.502,9.2852,0.62973,0.737,0.737,2.704,-0.043,4.135,28,1.88,1.55,1.61,27,25,13,135,140,125,0.964286,1.12,1.08,58.933194,54.938044,26.981538,8.86,7.3,2.7,55,68,57.8,2.51,8.89,4.05,HEX,CUB,FCC,4,4,3,9,7,13
1742,Rh2PtGa,Rh,Pt,Ga,l21,0.228781,-0.244908,6.165853752,1420.0182,54.0015,9.3873,0.248987,0.332,0.332,0.123,-0.016,0.771,31,2.28,2.2,1.81,45,78,31,135,135,130,1,1.038462,1.038462,102.9055,195.084,69.723,12.4,21.5,5.91,66,48,50,3.8,3.92,4.51,FCC,FCC,ORC,5,6,4,9,10,13
1744,Rh2PtIn,Rh,Pt,In,l21,0.234183,-0.14527075,6.344606104,1329.2295,67.5015,9.706,0.35357,0.388,0.388,0.155,-0.024,0.907,31,2.28,2.2,1.78,45,78,49,135,135,155,1,0.870968,0.870968,102.9055,195.084,114.818,12.4,21.5,7.31,66,48,65,3.8,3.92,4.59,FCC,FCC,TET,5,6,5,9,10,13
2540,Ti2PtSn,Ti,Pt,Sn,l21,0.267831,-0.4284955,6.571706175,1319.3052,1117.5,7.9205,0.386732,0.815,0.815,0.141,0.02,1.791,22,1.54,2.2,1.96,22,78,50,140,135,145,1.037037,0.931034,0.965517,47.867,195.084,118.71,4.506,21.5,7.287,100,48,53,2.95,3.92,5.82,HEX,FCC,TET,4,6,5,4,10,14
991,Mn2TiAl,Mn,Ti,Al,l21,1.028267,-0.3973505,5.945854448,1267.1713,508.502,8.4867,0.813791,1.842,1.842,-0.632,-0.041,3.011,21,1.55,1.54,1.61,25,22,13,140,140,125,1,1.12,1.12,54.938044,47.867,26.981538,7.3,4.506,2.7,68,100,57.8,8.89,2.95,4.05,CUB,HEX,FCC,4,4,3,7,4,13
995,Mn2TiGa,Mn,Ti,Ga,l21,0.860036,-0.34436525,5.939107235,1264.3163,544.502,7.3816,0.794897,1.861,1.861,-0.675,-0.086,2.961,21,1.55,1.54,1.81,25,22,31,140,140,130,1,1.076923,1.076923,54.938044,47.867,69.723,7.3,4.506,5.91,68,100,50,8.89,2.95,4.51,CUB,HEX,ORC,4,4,4,7,4,13
1651,Rh2FeAs,Rh,Fe,As,l21,0.377962,-0.05429025,6.079714004,1236.3313,0,10.6343,0.455754,0.344,0.344,3.036,0.009,3.733,31,2.28,1.83,2.18,45,26,33,135,140,115,0.964286,1.217391,1.173913,102.9055,55.845,74.921595,12.4,7.87,5.75,66,62,30,3.8,2.87,4.13,FCC,BCC,RHL,5,4,4,9,8,15
1731,Rh2PdGa,Rh,Pd,Ga,l21,0.199123,-0.2554175,6.13994536,1198.0464,127.502,8.8566,0.272802,0.489,0.489,0.214,-0.029,1.163,31,2.28,2.2,1.81,45,46,31,135,140,130,0.964286,1.076923,1.038462,102.9055,106.42,69.723,12.4,12,5.91,66,26.14,50,3.8,3.89,4.51,FCC,FCC,ORC,5,5,4,9,10,13
1628,Rh2CrAl,Rh,Cr,Al,l21,1.6175,-0.5237525,6.027183041,1194.7069,0,10.6061,0.946472,0.186,0.186,2.586,-0.014,2.944,27,2.28,1.66,1.61,45,24,13,135,140,125,0.964286,1.12,1.08,102.9055,51.9961,26.981538,12.4,7.15,2.7,66,83,57.8,3.8,2.88,4.05,FCC,BCC,FCC,5,4,3,9,6,13
1689,Rh2MnIn,Rh,Mn,In,l21,1.316547,-0.3783475,6.276029474,1132.7287,0,8.8716,0.792393,0.316,0.316,3.706,-0.072,4.266,28,2.28,1.55,1.78,45,25,49,135,140,155,0.964286,0.903226,0.870968,102.9055,54.938044,114.818,12.4,7.3,7.31,66,68,65,3.8,8.89,4.59,FCC,CUB,TET,5,4,5,9,7,13
1676,Rh2IrGa,Rh,Ir,Ga,xa,-0.136897,-0.076199,6.133554529,1046.8719,90.0015,8.9244,0.18416,0.331,0.427,0.432,-0.009,1.181,30,2.28,2.2,1.81,45,77,31,135,135,130,1,1.038462,1.038462,102.9055,192.217,69.723,12.4,22.5622,5.91,66,54,50,3.8,3.84,4.51,FCC,FCC,ORC,5,6,4,9,9,13
104,Co2MnGa,Co,Mn,Ga,l21,1.081345,-0.26849025,5.703562895,1045.8798,517.502,7.8461,0.729201,0.722,0.722,2.762,-0.117,4.089,28,1.88,1.55,1.81,27,25,31,135,140,130,0.964286,1.076923,1.038462,58.933194,54.938044,69.723,8.86,7.3,5.91,55,68,50,2.51,8.89,4.51,HEX,CUB,ORC,4,4,4,9,7,13
1733,Rh2PdIn,Rh,Pd,In,l21,0.061183,-0.1408015,6.337007534,1040.5984,157.502,9.119,0.330236,0.595,0.595,0.297,-0.042,1.445,31,2.28,2.2,1.78,45,46,49,135,140,155,0.964286,0.903226,0.870968,102.9055,106.42,114.818,12.4,12,7.31,66,26.14,65,3.8,3.89,4.59,FCC,FCC,TET,5,5,5,9,10,13
2077,Ru2WSi,Ru,W,Si,l21,0.601788,-0.02015625,6.088633449,1036.3909,132.002,12.7813,0.339335,0.474,0.474,0.277,0.018,1.243,26,2.2,1.7,1.9,44,74,14,130,135,110,0.962963,1.227273,1.181818,101.07,183.84,28.085,12.1,19.3,2.3296,72,68,37.3,2.7,3.16,5.43,HEX,BCC,DIA,5,6,3,8,6,14
1632,Rh2CrGa,Rh,Cr,Ga,l21,1.411629,-0.3918445,6.043850962,1020.3183,0,9.2909,0.85755,0.157,0.157,2.631,-0.037,2.908,27,2.28,1.66,1.81,45,24,31,135,140,130,0.964286,1.076923,1.038462,102.9055,51.9961,69.723,12.4,7.15,5.91,66,83,50,3.8,2.88,4.51,FCC,BCC,ORC,5,4,4,9,6,13
1727,Rh2PdAl,Rh,Pd,Al,l21,0.171347,-0.37842275,6.126794588,1015.6327,97.5015,10.1073,0.258716,0.439,0.439,0.171,-0.012,1.037,31,2.28,2.2,1.61,45,46,13,135,140,125,0.964286,1.12,1.08,102.9055,106.42,26.981538,12.4,12,2.7,66,26.14,57.8,3.8,3.89,4.05,FCC,FCC,FCC,5,5,3,9,10,13
1793,Rh2VAl,Rh,V,Al,l21,1.562271,-0.638143,6.047947939,1005.0579,111.002,10.1479,0.747361,0.2,0.2,1.177,-0.008,1.569,26,2.28,1.63,1.61,45,23,13,135,135,125,1,1.08,1.08,102.9055,50.9415,26.981538,12.4,6,2.7,66,87,57.8,3.8,3.02,4.05,FCC,BCC,FCC,5,4,3,9,5,13
1955,Ru2MnSb,Ru,Mn,Sb,l21,1.64178,-0.1253945,6.228209257,973.4224,276.002,11.8319,0.951026,0.205,0.205,3.5,0.006,3.916,28,2.2,1.55,2.05,44,25,51,130,140,145,0.928571,0.965517,0.896552,101.07,54.938044,121.76,12.1,7.3,6.68,72,68,43,2.7,8.89,4.51,HEX,CUB,RHL,5,4,5,8,7,15
1923,Ru2FeSi,Ru,Fe,Si,l21,1.418217,-0.34154225,5.896980641,973.2151,295.502,12.0284,0.613982,0.401,0.401,2.942,0.018,3.762,28,2.2,1.83,1.9,44,26,14,130,140,110,0.928571,1.272727,1.181818,101.07,55.845,28.085,12.1,7.87,2.3296,72,62,37.3,2.7,2.87,5.43,HEX,BCC,DIA,5,4,3,8,8,14
1948,Ru2MnAs,Ru,Mn,As,l21,1.639718,-0.13330675,6.026311886,947.5023,273.002,11.3471,0.904698,0.204,0.204,3.341,0.036,3.785,28,2.2,1.55,2.18,44,25,33,130,140,115,0.928571,1.217391,1.130435,101.07,54.938044,74.921595,12.1,7.3,5.75,72,68,30,2.7,8.89,4.13,HEX,CUB,RHL,5,4,4,8,7,15
225,Co2WGa,Co,W,Ga,l21,0.810866,-0.0264285,5.881937652,934.7093,123.002,9.1224,0.586318,0.835,0.835,0.119,0.009,1.798,27,1.88,1.7,1.81,27,74,31,135,135,130,1,1.038462,1.038462,58.933194,183.84,69.723,8.86,19.3,5.91,55,68,50,2.51,3.16,4.51,HEX,BCC,ORC,4,6,4,9,6,13
1634,Rh2CrIn,Rh,Cr,In,l21,1.581874,-0.18902675,6.269136597,918.8822,0,9.3793,0.838902,0.094,0.094,2.827,-0.056,2.959,27,2.28,1.66,1.78,45,24,49,135,140,155,0.964286,0.903226,0.870968,102.9055,51.9961,114.818,12.4,7.15,7.31,66,83,65,3.8,2.88,4.59,FCC,BCC,TET,5,4,5,9,6,13
1672,Rh2IrAl,Rh,Ir,Al,xa,-0.176238,-0.23437175,6.122537805,916.7168,175.502,10.1701,0.057939,0.544,0.519,0.581,-0.004,1.64,30,2.28,2.2,1.61,45,77,13,135,135,125,1,1.08,1.08,102.9055,192.217,26.981538,12.4,22.5622,2.7,66,54,57.8,3.8,3.84,4.05,FCC,FCC,FCC,5,6,3,9,9,13
2164,Sc2CrSb,Sc,Cr,Sb,l21,0.325579,-0.16698475,6.909608464,898.6622,397.502,7.1102,0.105131,-0.284,-0.284,3.427,0.018,2.877,17,1.36,1.66,2.05,21,24,51,160,140,145,1.142857,0.965517,1.103448,44.955908,51.9961,121.76,2.99,7.15,6.68,97,83,43,3.31,2.88,4.51,HEX,BCC,RHL,4,4,5,3,6,15
1633,Rh2CrGe,Rh,Cr,Ge,l21,1.068708,-0.28040675,6.071842491,897.0109,0,10.321,0.700819,0.366,0.366,2.972,-0.001,3.703,28,2.28,1.66,2.01,45,24,32,135,140,125,0.964286,1.12,1.08,102.9055,51.9961,72.63,12.4,7.15,5.3234,66,83,40,3.8,2.88,5.66,FCC,BCC,DIA,5,4,4,9,6,14
68,Co2FeAs,Co,Fe,As,xa,-2.048296,-0.42185975,5.696084534,896.4482,892.502,10.893,0.711472,4.304,0.833,1.145,0.088,6.37,31,1.88,1.83,2.18,27,26,33,135,140,115,0.964286,1.217391,1.173913,58.933194,55.845,74.921595,8.86,7.87,5.75,55,62,30,2.51,2.87,4.13,HEX,BCC,RHL,4,4,4,9,8,15
2728,V2IrAl,V,Ir,Al,xa,-1.154199,-0.480446,6.059171138,869.3198,226.502,8.0009,0.706746,-0.313,1.721,0.187,0.001,1.596,22,1.63,2.2,1.61,23,77,13,135,135,125,1,1.08,1.08,50.9415,192.217,26.981538,6,22.5622,2.7,87,54,57.8,3.02,3.84,4.05,BCC,FCC,FCC,4,6,3,5,9,13
874,Mn2HfGa,Mn,Hf,Ga,l21,1.048624,-0.2504395,6.103748564,853.9452,972.002,6.821,0.845501,1.699,1.699,-0.299,-0.101,2.998,21,1.55,1.3,1.81,25,72,31,140,155,130,0.903226,1.192308,1.076923,54.938044,178.49,69.723,7.3,13.3,5.91,68,103,50,8.89,3.2,4.51,CUB,HEX,ORC,4,6,4,7,4,13
1638,Rh2CrSn,Rh,Cr,Sn,l21,1.362517,-0.26489275,6.281905531,840.4623,282.002,9.9459,0.789229,0.331,0.331,3.109,-0.034,3.737,28,2.28,1.66,1.96,45,24,50,135,140,145,0.964286,0.965517,0.931034,102.9055,51.9961,118.71,12.4,7.15,7.287,66,83,53,3.8,2.88,5.82,FCC,BCC,TET,5,4,5,9,6,14
1050,Mn2ZrGa,Mn,Zr,Ga,l21,0.926122,-0.24244625,6.137099962,832.1017,177.002,8.4729,0.572071,1.758,1.758,-0.373,-0.109,3.034,21,1.55,1.33,1.81,25,40,31,140,155,130,0.903226,1.192308,1.076923,54.938044,91.224,69.723,7.3,6.52,5.91,68,112,50,8.89,3.23,4.51,CUB,HEX,ORC,4,5,4,7,4,13
358,Cr2IrGe,Cr,Ir,Ge,xa,-0.92907,-0.0671385,5.993557285,825.9435,390.002,9.5716,0.973628,2.453,-1.573,0.065,0.02,0.965,25,1.66,2.2,2.01,24,77,32,140,135,125,1.037037,1.08,1.12,51.9961,192.217,72.63,7.15,22.5622,5.3234,83,54,40,2.88,3.84,5.66,BCC,FCC,DIA,4,6,4,6,9,14
1637,Rh2CrSi,Rh,Cr,Si,l21,1.120609,-0.41656225,5.978570864,818.5963,192.002,11.5931,0.621844,0.388,0.388,2.917,0.002,3.695,28,2.28,1.66,1.9,45,24,14,135,140,110,0.964286,1.272727,1.227273,102.9055,51.9961,28.085,12.4,7.15,2.3296,66,83,37.3,3.8,2.88,5.43,FCC,BCC,DIA,5,4,3,9,6,14
2403,Ti2CdGe,Ti,Cd,Ge,l21,1.282835,-0.087509,6.511368753,806.3525,0,5.8064,0.035745,0.133,0.133,0.003,0.002,0.271,14,1.54,1.69,2.01,22,48,32,140,155,125,0.903226,1.24,1.12,47.867,112.414,72.63,4.506,8.69,5.3234,100,46,40,2.95,2.98,5.66,HEX,HEX,DIA,4,5,4,4,12,14
853,Mn2CuGe,Mn,Cu,Ge,xa,-0.104476,-0.04360675,5.921942925,788.9166,583.502,8.5603,0.428887,3.142,-2.6,0.011,0.036,0.589,19,1.55,1.9,2.01,25,29,32,140,135,125,1.037037,1.08,1.12,54.938044,63.546,72.63,7.3,8.96,5.3234,68,46.5,40,8.89,3.61,5.66,CUB,FCC,DIA,4,4,4,7,11,14
45,Co2CrAl,Co,Cr,Al,l21,0.444202,-0.56885625,5.694634965,782.886,412.502,9.956,0.305461,0.841,0.841,-1.421,0.01,0.271,27,1.88,1.66,1.61,27,24,13,135,140,125,0.964286,1.12,1.08,58.933194,51.9961,26.981538,8.86,7.15,2.7,55,83,57.8,2.51,2.88,4.05,HEX,BCC,FCC,4,4,3,9,6,13
79,Co2HfAs,Co,Hf,As,l21,0.86776,-0.265624,6.041770654,782.2768,94.5015,8.702,0.918849,0.728,0.728,-0.093,0.04,1.403,27,1.88,1.3,2.18,27,72,33,135,155,115,0.870968,1.347826,1.173913,58.933194,178.49,74.921595,8.86,13.3,5.75,55,103,30,2.51,3.2,4.13,HEX,HEX,RHL,4,6,4,9,4,15
221,Co2WAl,Co,W,Al,l21,1.043937,-0.17103125,5.874251401,778.3007,0,10.4151,0.507752,0.863,0.863,0.14,0.005,1.871,27,1.88,1.7,1.61,27,74,13,135,135,125,1,1.08,1.08,58.933194,183.84,26.981538,8.86,19.3,2.7,55,68,57.8,2.51,3.16,4.05,HEX,BCC,FCC,4,6,3,9,6,13
2802,V2PtSb,V,Pt,Sb,l21,0.338874,-0.05146825,6.337130571,774.1106,0,9.5336,0.079788,0.381,0.381,-0.006,-0.009,0.747,25,1.63,2.2,2.05,23,78,51,135,135,145,1,0.931034,0.931034,50.9415,195.084,121.76,6,21.5,6.68,87,48,43,3.02,3.92,4.51,BCC,FCC,RHL,4,6,5,5,10,15
2408,Ti2CdSn,Ti,Cd,Sn,l21,0.961706,-0.02906525,6.733874044,744.4948,0,5.9349,0.117551,0.202,0.202,0.005,0.007,0.416,14,1.54,1.69,1.96,22,48,50,140,155,145,0.903226,1.068966,0.965517,47.867,112.414,118.71,4.506,8.69,7.287,100,46,53,2.95,2.98,5.82,HEX,HEX,TET,4,5,5,4,12,14
1046,Mn2ZrAl,Mn,Zr,Al,l21,1.262858,-0.29455975,6.147420893,736.1133,186.002,9.4836,0.809768,1.731,1.731,-0.341,-0.046,3.075,21,1.55,1.33,1.61,25,40,13,140,155,125,0.903226,1.24,1.12,54.938044,91.224,26.981538,7.3,6.52,2.7,68,112,57.8,8.89,3.23,4.05,CUB,HEX,FCC,4,5,3,7,4,13
2522,Ti2PdBi,Ti,Pd,Bi,l21,0.764966,-0.17013075,6.667636523,721.7709,0,8.1722,0.111591,0.452,0.452,0.022,0.001,0.927,23,1.54,2.2,1.9,22,46,83,140,140,160,1,0.875,0.875,47.867,106.42,208.9804,4.506,12,9.79,100,26.14,48,2.95,3.89,4.75,HEX,FCC,RHL,4,5,6,4,10,15
2392,Ti2AuGe,Ti,Au,Ge,l21,1.432497,-0.36656225,6.450619795,719.8859,0,7.3966,0.132871,0.327,0.327,0.01,-0.002,0.662,13,1.54,2.4,2.01,22,79,32,140,135,125,1.037037,1.08,1.12,47.867,196.966569,72.63,4.506,19.3,5.3234,100,36,40,2.95,4.08,5.66,HEX,FCC,DIA,4,6,4,4,11,14
632,Fe2MnGa,Fe,Mn,Ga,xa,-0.31448,-0.023906,5.749534735,716.7176,741.002,8.3892,0.59705,2.357,-0.211,-0.019,0.009,2.136,26,1.83,1.55,1.81,26,25,31,140,140,130,1,1.076923,1.076923,55.845,54.938044,69.723,7.87,7.3,5.91,62,68,50,2.87,8.89,4.51,BCC,CUB,ORC,4,4,4,8,7,13
1919,Ru2FeGe,Ru,Fe,Ge,l21,1.213632,-0.13187,5.993793459,716.0604,250.502,10.7071,0.737126,0.446,0.446,3.013,0.016,3.921,28,2.2,1.83,2.01,44,26,32,130,140,125,0.928571,1.12,1.04,101.07,55.845,72.63,12.1,7.87,5.3234,72,62,40,2.7,2.87,5.66,HEX,BCC,DIA,5,4,4,8,8,14
2109,Ru2ZrSb,Ru,Zr,Sb,l21,1.945285,-0.39195125,6.486912758,714.3446,177.002,12.4147,1,0.507,0.507,-0.033,0.02,1.001,25,2.2,1.33,2.05,44,40,51,130,155,145,0.83871,1.068966,0.896552,101.07,91.224,121.76,12.1,6.52,6.68,72,112,43,2.7,3.23,4.51,HEX,HEX,RHL,5,5,5,8,4,15
1625,Rh2CoSb,Rh,Co,Sb,l21,0.378382,-0.05564075,6.197028676,707.152,0,11.4908,0.887845,-0.014,-0.014,1.657,-0.016,1.613,32,2.28,1.88,2.05,45,27,51,135,135,145,1,0.931034,0.931034,102.9055,58.933194,121.76,12.4,8.86,6.68,66,55,43,3.8,2.51,4.51,FCC,HEX,RHL,5,4,5,9,9,15
1926,Ru2HfAs,Ru,Hf,As,l21,1.548284,-0.34899325,6.307055905,705.3335,87.0015,10.1014,0.925944,0.352,0.352,-0.023,0.038,0.719,25,2.2,1.3,2.18,44,72,33,130,155,115,0.83871,1.347826,1.130435,101.07,178.49,74.921595,12.1,13.3,5.75,72,103,30,2.7,3.2,4.13,HEX,HEX,RHL,5,6,4,8,4,15
2054,Ru2TiSb,Ru,Ti,Sb,l21,1.733793,-0.37011275,6.304131312,695.2708,117.002,11.9598,0.917302,0.398,0.398,0.096,0.01,0.902,25,2.2,1.54,2.05,44,22,51,130,140,145,0.928571,0.965517,0.896552,101.07,47.867,121.76,12.1,4.506,6.68,72,100,43,2.7,2.95,4.51,HEX,HEX,RHL,5,4,5,8,4,15
2214,Sc2MnBi,Sc,Mn,Bi,l21,0.691378,-0.13925375,6.984995946,670.8398,255.002,6.5268,0.725582,-0.415,-0.415,3.155,0.026,2.351,18,1.36,1.55,1.9,21,25,83,160,140,160,1.142857,0.875,1,44.955908,54.938044,208.9804,2.99,7.3,9.79,97,68,48,3.31,8.89,4.75,HEX,CUB,RHL,4,4,6,3,7,15
1636,Rh2CrSb,Rh,Cr,Sb,l21,0.96734,-0.1657065,6.298771442,665.9722,189.002,11.4652,0.010825,0.459,0.459,3.261,0.021,4.2,29,2.28,1.66,2.05,45,24,51,135,140,145,0.964286,0.965517,0.931034,102.9055,51.9961,121.76,12.4,7.15,6.68,66,83,43,3.8,2.88,4.51,FCC,BCC,RHL,5,4,5,9,6,15
2512,Ti2NiGa,Ti,Ni,Ga,l21,0.350973,-0.34874475,6.184510058,663.7503,106.502,6.0601,0.404527,0.319,0.319,0.44,0.041,1.119,21,1.54,1.91,1.81,22,28,31,140,135,130,1.037037,1.038462,1.076923,47.867,58.6934,69.723,4.506,8.9,5.91,100,49,50,2.95,3.52,4.51,HEX,FCC,ORC,4,4,4,4,10,13
2102,Ru2ZrAs,Ru,Zr,As,l21,1.296852,-0.31928675,6.328250724,653.7389,91.5015,11.5719,0.90485,0.383,0.383,-0.018,0.041,0.789,25,2.2,1.33,2.18,44,40,33,130,155,115,0.83871,1.347826,1.130435,101.07,91.224,74.921595,12.1,6.52,5.75,72,112,30,2.7,3.23,4.13,HEX,HEX,RHL,5,5,4,8,4,15
2390,Ti2AuBi,Ti,Au,Bi,l21,1.502232,-0.09415175,6.756640054,637.8562,0,8.0658,0.275005,0.318,0.318,0.01,0.014,0.66,14,1.54,2.4,1.9,22,79,83,140,135,160,1.037037,0.84375,0.875,47.867,196.966569,208.9804,4.506,19.3,9.79,100,36,48,2.95,4.08,4.75,HEX,FCC,RHL,4,6,6,4,11,15
131,Co2NbSi,Co,Nb,Si,l21,0.719893,-0.3270805,5.876471716,635.776,111.002,9.3685,0.61935,0.847,0.847,0.035,0.025,1.754,27,1.88,1.6,1.9,27,41,14,135,145,110,0.931034,1.318182,1.227273,58.933194,92.90637,28.085,8.86,8.57,2.3296,55,98,37.3,2.51,3.3,5.43,HEX,BCC,DIA,4,5,3,9,5,14
2558,Ti2RuIn,Ti,Ru,In,xa,-0.067253,-0.2158035,6.440129159,617.2639,48.0015,7.6459,1,0.309,0.714,-0.176,-0.021,0.826,19,1.54,2.2,1.78,22,44,49,140,130,155,1.076923,0.83871,0.903226,47.867,101.07,114.818,4.506,12.1,7.31,100,72,65,2.95,2.7,4.59,HEX,HEX,TET,4,5,5,4,8,13
688,Fe2PtGe,Fe,Pt,Ge,l21,0.153353,-0.00004575,5.97462238,613.4146,294.002,9.8994,0.748905,2.215,2.215,0.265,-0.115,4.58,30,1.83,2.2,2.01,26,78,32,140,135,125,1.037037,1.08,1.12,55.845,195.084,72.63,7.87,21.5,5.3234,62,48,40,2.87,3.92,5.66,BCC,FCC,DIA,4,6,4,8,10,14
464,Cr2TiAs,Cr,Ti,As,l21,0.500082,-0.109399,5.957779097,611.0643,193.502,9.6239,0.507878,1.629,1.629,-0.426,-0.039,2.793,21,1.66,1.54,2.18,24,22,33,140,140,115,1,1.217391,1.217391,51.9961,47.867,74.921595,7.15,4.506,5.75,83,100,30,2.88,2.95,4.13,BCC,HEX,RHL,4,4,4,6,4,15
1656,Rh2FeIn,Rh,Fe,In,l21,1.108112,-0.2306735,6.242000667,610.9999,364.502,9.6531,0.872931,0.494,0.494,3.262,-0.029,4.221,29,2.28,1.83,1.78,45,26,49,135,140,155,0.964286,0.903226,0.870968,102.9055,55.845,114.818,12.4,7.87,7.31,66,62,65,3.8,2.87,4.59,FCC,BCC,TET,5,4,5,9,8,13
1688,Rh2MnGe,Rh,Mn,Ge,l21,1.438974,-0.463716,6.069446814,607.0691,333.002,10.2592,0.380197,0.456,0.456,3.696,-0.001,4.607,29,2.28,1.55,2.01,45,25,32,135,140,125,0.964286,1.12,1.08,102.9055,54.938044,72.63,12.4,7.3,5.3234,66,68,40,3.8,8.89,5.66,FCC,CUB,DIA,5,4,4,9,7,14
2466,Ti2IrB,Ti,Ir,B,xa,-0.062683,-0.1736445,5.935911112,606.7401,0,8.0216,0.472457,0.554,1.199,-0.018,-0.026,1.709,20,1.54,2.2,2.04,22,77,5,140,135,85,1.037037,1.588235,1.647059,47.867,192.217,10.81,4.506,22.5622,2.34,100,54,20.5,2.95,3.84,8.73,HEX,FCC,TET,4,6,2,4,9,13
852,Mn2CuGa,Mn,Cu,Ga,xa,-0.256362,-0.11470675,5.903787251,602.7853,1117.5,7.3305,0.516103,3.045,-2.743,0.024,-0.02,0.306,18,1.55,1.9,1.81,25,29,31,140,135,130,1.037037,1.038462,1.076923,54.938044,63.546,69.723,7.3,8.96,5.91,68,46.5,50,8.89,3.61,4.51,CUB,FCC,ORC,4,4,4,7,11,13
1365,Pd2CrAs,Pd,Cr,As,l21,0.07293,-0.08792775,6.272418987,602.7797,0,9.0649,0.388427,0.012,0.012,3.393,-0.048,3.369,31,2.2,1.66,2.18,46,24,33,140,140,115,1,1.217391,1.217391,106.42,51.9961,74.921595,12,7.15,5.75,26.14,83,30,3.89,2.88,4.13,FCC,BCC,RHL,5,4,4,10,6,15
2809,V2RhGa,V,Rh,Ga,xa,-0.864709,-0.31849375,6.052944356,593.4025,355.502,7.2788,0.868521,-0.253,1.666,0.207,0.021,1.641,22,1.63,2.28,1.81,23,45,31,135,135,130,1,1.038462,1.038462,50.9415,102.9055,69.723,6,12.4,5.91,87,66,50,3.02,3.8,4.51,BCC,FCC,ORC,4,5,4,5,9,13
2470,Ti2IrIn,Ti,Ir,In,xa,-0.366469,-0.3972585,6.457340138,585.1339,121.502,7.3102,1,0.539,1.217,-0.091,-0.002,1.663,20,1.54,2.2,1.78,22,77,49,140,135,155,1.037037,0.870968,0.903226,47.867,192.217,114.818,4.506,22.5622,7.31,100,54,65,2.95,3.84,4.59,HEX,FCC,TET,4,6,5,4,9,13
2444,Ti2FeB,Ti,Fe,B,l21,0.711436,-0.14275775,5.794840481,576.8263,49.5015,7.8578,0.530641,-0.23,-0.23,1.35,0.089,0.979,19,1.54,1.83,2.04,22,26,5,140,140,85,1,1.647059,1.647059,47.867,55.845,10.81,4.506,7.87,2.34,100,62,20.5,2.95,2.87,8.73,HEX,BCC,TET,4,4,2,4,8,13
870,Mn2HfAl,Mn,Hf,Al,l21,1.467987,-0.316098,6.113553306,565.3193,1065,7.855,0.949686,1.688,1.688,-0.268,-0.044,3.064,21,1.55,1.3,1.61,25,72,13,140,155,125,0.903226,1.24,1.12,54.938044,178.49,26.981538,7.3,13.3,2.7,68,103,57.8,8.89,3.2,4.05,CUB,HEX,FCC,4,6,3,7,4,13
2394,Ti2AuPb,Ti,Au,Pb,l21,1.104199,-0.0735225,6.727005208,562.0562,0,7.3048,0.65306,0.42,0.42,0.004,-0.001,0.843,13,1.54,2.4,1.8,22,79,82,140,135,180,1.037037,0.75,0.777778,47.867,196.966569,207.2,4.506,19.3,11.3,100,36,47,2.95,4.08,4.95,HEX,FCC,FCC,4,6,6,4,11,14
255,Co2ZrAs,Co,Zr,As,l21,0.720355,-0.26530725,6.073615915,552.7328,0,10.3966,0.890385,0.853,0.853,-0.081,0.043,1.668,27,1.88,1.33,2.18,27,40,33,135,155,115,0.870968,1.347826,1.173913,58.933194,91.224,74.921595,8.86,6.52,5.75,55,112,30,2.51,3.23,4.13,HEX,HEX,RHL,4,5,4,9,4,15
